id,authorized_flag,purchase_date,card_id,merchant_id,item_category,purchase_amount,signature_provided,product_title,first_active_month_parsed,reward_program,cardholder_fico_score,cardholder_age,merchant_category_id,merchant_subsector,merchant_latitude,merchant_longitude
11637,1,2017-01-28,C_ID_ff8048d2b2,M_ID_21b5492cbf,B,499.799988,0,,2015-07-01T00:00:00.000Z,cash_back,741,25,434,flights,32.618,-85.277
7783,0,2017-01-19,C_ID_85379ef84c,M_ID_21b8a3a739,D,82.5400009,0,,2016-02-01T00:00:00.000Z,dining_entertainment,420,19,248,internet,32.083,-83.018
10534,1,2017-01-26,C_ID_ccc1e951fb,M_ID_21bdbaaba5,D,19.9599991,0,,2015-10-01T00:00:00.000Z,cash_back,483,55,195,gas,39.2,-118.921
12135,0,2017-01-29,C_ID_1af8021eb0,M_ID_21bee3f3b6,C,61.6800003,0,,2016-11-01T00:00:00.000Z,cash_back,599,37,343,internet,46.825,-102.533
3810,1,2017-01-09,C_ID_b96812034a,M_ID_21bee3f3b6,C,21.5599995,0,,2016-11-01T00:00:00.000Z,cash_back,433,57,343,internet,46.825,-102.533
8523,1,2017-01-21,C_ID_7b8ef63eac,M_ID_21c26af10a,B,35.2000008,0,Oklahoma City Thunder Jersey Design on Apple iPhone 6 Switchback Case by Coveroo,2016-11-01T00:00:00.000Z,cash_back,311,21,307,entertainment,29.181,-82.459
2617,1,2017-01-06,C_ID_b33ee68776,M_ID_21c42b7376,A,114.620003,0,Insten Black Premium Horizontal Pouch Phone Case Cover With Magnetic Flip/ Belt Clip For Samsung Galaxy Note LTE,2016-10-01T00:00:00.000Z,dining_entertainment,759,34,779,consumer electronics,36.687,-90.127
7417,1,2017-01-18,C_ID_14fbd20690,M_ID_21c509b90e,A,162.869995,0,"Nintendo Wii  Console with 7 games, memory card, Wii Fit Balance Board,Dance Pad",2016-12-01T00:00:00.000Z,dining_entertainment,727,58,307,entertainment,37.955,-91.02
3260,1,2017-01-07,C_ID_823811e76e,M_ID_21dfa017a6,D,15.1400003,0,,2016-08-01T00:00:00.000Z,cash_back,500,35,580,internet,30.608,-102.587
8919,1,2017-01-21,C_ID_f08f6425da,M_ID_21dfa017a6,A,25.0100002,0,,2015-12-01T00:00:00.000Z,cash_back,674,21,580,internet,30.608,-102.587
9928,1,2017-01-24,C_ID_abe44c1eb4,M_ID_21dfa017a6,B,20.7600002,0,,2016-04-01T00:00:00.000Z,cash_back,826,60,580,internet,30.608,-102.587
12727,0,2017-01-31,C_ID_be962caa0d,M_ID_21f198ea54,D,161.020004,0,Balt 66572 7-Outlet Surge Suppressor,2016-12-01T00:00:00.000Z,dining_entertainment,721,26,276,consumer electronics,32.9,-112.01
12368,1,2017-01-30,C_ID_25cdfac79c,M_ID_21ff44f9f6,A,40.6599998,0,,2016-10-01T00:00:00.000Z,dining_entertainment,671,55,793,pharmaceuticals,38.003,-96.957
3114,1,2017-01-07,C_ID_4f90be468e,M_ID_22152d566d,A,74.3600006,0,Freshware 6-cavity Savarin and Donut Silicone Mold/ Baking Pans (Pack of 2),2015-08-01T00:00:00.000Z,cash_back,743,78,705,groceries,32.744,-114.76
1372,1,2017-01-02,C_ID_d6a61247ee,M_ID_22185fe834,D,81.5,0,,2016-10-01T00:00:00.000Z,dining_entertainment,375,37,19,real estate investments,34.175,-103.622
9757,1,2017-01-24,C_ID_668dd05db7,M_ID_2218d7b519,B,57.9099998,0,Timecop/Bloodsport (Blu-ray) (Widescreen),2016-12-01T00:00:00.000Z,cash_back,816,50,557,retail apparel,45.495,-116.63
